Fraud,Normalized,Points,low,up
35884,0.0359777219657207,1,0,19
141494,0.1418635545596278,4,20,29
172007,0.1724562485274139,5,30,39
154629,0.1550328606018678,5,40,49
161846,0.1622687099895227,5,50,59
179757,0.1802264900064668,5,60,69
110959,0.1112488031321592,4,70,79
40819,0.0409256112172208,2,80,100
