,Assault,Normalized,Points
0-11,7.3,0.04582548650345261,2
12-14,21.1,0.1324544883866918,4
15-17,28.9,0.18141870684243566,5
18-21,29.3,0.1839296924042687,5
22-24,22.9,0.14375392341494037,4
25-29,16.7,0.10483364720652857,3
30-34,11.0,0.06905210295040805,2
35-39,9.2,0.05775266792215945,2
40-49,8.3,0.05210295040803516,2
50-64,3.4,0.021343377275580666,1
65-100,1.2,0.007532956685499059,1
