,sex crime,Normalized,Points
0-12,2.1,0.060344827586206906,2
12-14,3.6,0.10344827586206898,3
15-17,5.9,0.1695402298850575,4
18-21,7.6,0.21839080459770116,5
22-24,6.4,0.18390804597701152,5
25-29,2.2,0.06321839080459771,2
30-34,3.0,0.08620689655172414,2
35-39,2.1,0.060344827586206906,2
40-49,1.5,0.04310344827586207,1
50-64,0.3,0.008620689655172414,1
65-100,0.1,0.002873563218390805,1
