,Gun Violence,Normalized,Points
1-4,0.635,0.005055329989650505,1
5-14,1.285,0.01023007722315102,1
15-24,20.02,0.1593822147918159,5
25-34,20.605,0.16403948730196638,5
35-44,15.8,0.12578616352201258,4
45-54,13.125,0.10449008836876043,4
55-64,12.075,0.09613088129925959,3
65-74,11.09,0.08828914895310881,3
75-84,15.155,0.12065122203646204,4
85-100,15.82,0.1259453865138126,4
