,Harrassment,Normalized,Points
0-18,23.4,0.06702950443998855,2
18-24,45.6,0.13062159839587512,4
25-34,53.0,0.15181896304783732,5
35-44,53.7,0.15382411916356348,5
45-54,57.4,0.16442280148954455,5
55-64,59.3,0.1698653680893727,5
65-100,56.7,0.16241764537381842,5
