,Robbery,Normalized,Points
0-12,8.5,0.09999999999999998,4
12-14,12.6,0.14823529411764702,5
15-17,12.4,0.14588235294117646,5
18-21,12.8,0.15058823529411763,5
22-24,10.3,0.12117647058823529,5
25-29,7.9,0.09294117647058822,4
30-34,7.2,0.08470588235294116,3
35-39,4.9,0.057647058823529405,2
40-49,4.4,0.051764705882352935,2
50-64,2.5,0.02941176470588235,1
65-100,1.5,0.017647058823529408,1
