Unnamed: 0,Murder,Normalized,Points
0-12,0.01,0.007936507936507936,1
12-14,0.03,0.023809523809523805,1
15-17,0.13,0.10317460317460315,3
18-21,0.26,0.2063492063492063,5
22-24,0.23,0.1825396825396825,5
25-29,0.18,0.14285714285714282,4
30-34,0.14,0.1111111111111111,3
35-39,0.11,0.08730158730158728,3
40-49,0.08,0.06349206349206349,2
50-64,0.05,0.03968253968253968,1
65-100,0.04,0.031746031746031744,1
