Offence,Latitude,Longitude
Theft,47.56385064,-122.3881276
Theft,47.65916004,-122.2887605
Robbery,47.69781254,-122.3459555
Public Nuisance,47.63534741,-122.3663486
Traffic Law,47.61523114,-122.3234155
Theft,47.52378257,-122.3577856
Theft,47.63292033,-122.3676298
Theft,47.61790609,-122.3521914
Theft,47.66138572,-122.3399095
Theft,47.6145776,-122.3279154
Public Nuisance,47.56951609,-122.3135972
Fraud,47.61522861,-122.3227727
Theft,47.66338968,-122.3796421
Theft,47.65462125,-122.3278911
Theft,47.6258506,-122.361267
Theft,47.64074809,-122.3539811
Theft,47.6477706,-122.3539097
Theft,47.69326938,-122.3424022
Theft,47.67729636,-122.318739
Theft,47.61836608,-122.3529693
Theft,47.66701275,-122.4093123
Theft,47.5191963,-122.3568112
Theft,47.6718745,-122.3577185
Theft,47.61264032,-122.3243206
Theft,47.68413737,-122.3778601
Theft,47.56347818,-122.362401
Theft,47.60736381,-122.3402161
Theft,47.61628073,-122.3335771
Theft,47.70858578,-122.3219184
Theft,47.67669047,-122.2916538
Theft,47.66399625,-122.313088
Fraud,47.61605329,-122.3361655
Theft,47.61991247,-122.3202061
Public Nuisance,47.66053224,-122.313149
Theft,47.71951899,-122.3282325
Fraud,47.60588517,-122.3167806
Fraud,47.60588517,-122.3167806
Robbery,47.72867309,-122.3430093
Theft,47.54977227,-122.2888877
Theft,47.52011424,-122.3564799
Theft,47.66365748,-122.3704948
Theft,47.56888116,-122.289922
Public Nuisance,47.6807958,-122.3060463
Traffic Law,47.54328358,-122.3965314
Theft,47.61064592,-122.3340104
Theft,47.6145776,-122.3279154
Theft,47.66332336,-122.2984112
Theft,47.60865749,-122.3207558
Theft,47.54264886,-122.2952861
Theft,47.60925299,-122.3373388
Public Nuisance,47.60925299,-122.3373388
Theft,47.56742553,-122.3774455
Theft,47.52102254,-122.365221
Traffic Law,47.59824021,-122.3359062
Missing,0.0,0.0
Public Nuisance,47.53698054,-122.268774
Theft,47.54566315,-122.2833369
Fraud,47.56380429,-122.3293685
Theft,47.61132124,-122.3373204
Theft,47.65123952,-122.3846743
Theft,47.70584423,-122.3198893
Robbery,47.56019555,-122.3854835
Theft,47.63103937,-122.3919708
Theft,47.54970394,-122.2771346
Theft,47.61581931,-122.3208079
Theft,47.6204918,-122.3208823
Theft,47.65046915,-122.3544837
Public Nuisance,47.61210339,-122.3338081
Theft,47.58025306,-122.3160234
Theft,47.6067848,-122.3312436
Theft,47.63347746,-122.3459424
Theft,47.52011422,-122.3551346
Theft,47.58096437,-122.2929986
Theft,47.64939241,-122.3833615
Theft,47.61205117,-122.3245498
Theft,47.58025306,-122.3160234
Theft,47.72919593,-122.3254227
Theft,47.6841481,-122.3767833
Theft,47.62137823,-122.3030405
Theft,47.63272539,-122.3459505
Theft,47.56203576,-122.3781123
Theft,47.71307948,-122.3139966
Public Nuisance,47.65296539,-122.3576617
Theft,47.63577659,-122.2820052
Theft,47.67668862,-122.294063
Theft,47.64650426,-122.3251984
Theft,47.61375921,-122.3471636
Theft,47.62034258,-122.3528255
Theft,47.52555707,-122.3467407
Theft,47.56203576,-122.3781123
Gun Violence,47.54750296,-122.3214389
Theft,47.66646689,-122.3847501
Theft,47.56203576,-122.3781123
Public Nuisance,47.52937273,-122.3766374
Theft,47.61239802,-122.3408925
Theft,47.66311774,-122.3174234
Theft,47.6168222,-122.3374648
Theft,47.59178012,-122.3012912
Theft,47.62208691,-122.350854
Fraud,47.68170464,-122.2883985
Theft,47.67133528,-122.4094926
Theft,47.60898867,-122.3363299
Theft,47.70598736,-122.3541203
Theft,47.57449356,-122.2898776
Theft,47.64970651,-122.3505254
Theft,47.6656842,-122.3163247
Theft,47.54889699,-122.2862645
Theft,47.62262048,-122.3371469
Theft,47.6487836,-122.3234362
Theft,47.67043066,-122.4088966
Sex Crime,0.0,0.0
Theft,47.61351951,-122.3207714
Theft,47.52005209,-122.3454377
Theft,47.57075994,-122.2910103
Public Nuisance,47.60166172,-122.2994442
Theft,47.52730949,-122.2707425
Theft,47.62024125,-122.3317002
Public Nuisance,47.69764538,-122.3162055
Theft,47.52677099,-122.2628308
Theft,47.54382608,-122.2726362
Robbery,47.72503555,-122.3449968
Drugs,47.72503555,-122.3449968
Theft,47.63246376,-122.3758341
Theft,47.63225641,-122.3249561
Traffic Law,47.60620305,-122.3167805
Public Nuisance,47.65832864,-122.3143633
Theft,47.6145776,-122.3279154
Theft,47.61521815,-122.3268042
Theft,47.64537245,-122.3622014
Theft,47.65415054,-122.3576581
Traffic Law,47.66692039,-122.3608013
Public Nuisance,47.60779562,-122.3375411
Fraud,47.6170232,-122.3457412
Theft,47.65307548,-122.3453389
Theft,47.62797487,-122.3668646
Theft,47.60951744,-122.3383483
Harrassment,47.57303502,-122.2872107
Public Nuisance,47.59828697,-122.3309763
Traffic Law,47.60130116,-122.3328752
Robbery,47.67599329,-122.362187
Theft,47.61090902,-122.3350179
Fraud,47.60620026,-122.3161256
Theft,47.54993361,-122.3099021
Robbery,47.56888116,-122.289922
Fraud,47.62586184,-122.3501711
Drugs,47.61470458,-122.3447935
Traffic Law,47.61027832,-122.3398125
Theft,47.5406801,-122.2759654
Theft,47.67495519,-122.3484753
Theft,47.61222186,-122.3445627
Theft,47.61523808,-122.3204074
Fraud,47.57259101,-122.3856707
Theft,47.62320194,-122.3364902
Public Nuisance,47.61351951,-122.3207714
Public Nuisance,47.66222203,-122.3195608
Theft,47.65649926,-122.3623432
Public Nuisance,47.59515308,-122.3096689
Theft,47.57742324,-122.3067071
Theft,47.6303008,-122.3288806
Theft,47.65135709,-122.3948967
Theft,47.65977588,-122.4003494
Drugs,47.59626534,-122.3192204
Theft,47.69061787,-122.3593147
Theft,47.62079119,-122.3024904
Theft,47.61522188,-122.3250007
Theft,47.66055372,-122.3154617
Theft,47.65046915,-122.3544837
Theft,47.55409938,-122.2669928
Fraud,47.61327122,-122.3443534
Theft,47.55169177,-122.3256211
Theft,47.6759485,-122.3875847
Theft,47.66426055,-122.3821346
Theft,47.59999561,-122.3053472
Public Nuisance,47.5761846,-122.2964941
Theft,47.66127317,-122.3137077
Theft,47.60878866,-122.3384495
Public Nuisance,47.59583483,-122.3247388
Theft,47.6621407,-122.3539806
Theft,47.66400406,-122.3142241
Theft,47.66438409,-122.3686103
Theft,47.60683291,-122.3289902
Theft,47.61144442,-122.3224615
Theft,47.67386923,-122.3492145
Theft,47.66590904,-122.3840777
Theft,47.69167434,-122.3929448
Theft,47.66222203,-122.3195608
Theft,47.51518675,-122.3754682
Theft,47.66431736,-122.2982247
Theft,47.66127317,-122.3137077
Fraud,47.71194078,-122.2893089
Fraud,47.7086028,-122.3246152
Theft,47.68252504,-122.2636832
Theft,47.52195143,-122.3551145
Fraud,47.6579168,-122.3166652
Theft,47.65659558,-122.3178266
Fraud,47.68549113,-122.3485561
Theft,47.63230108,-122.3462638
Traffic Law,47.54442736,-122.3900012
Theft,47.68476424,-122.3431426
Public Nuisance,47.62369897,-122.3209333
Drugs,47.61232219,-122.3217187
Drugs,47.61232219,-122.3217187
Traffic Law,47.59918613,-122.3224447
Drugs,47.60686714,-122.3397615
Theft,47.52919654,-122.3539427
Theft,47.6010021,-122.3022358
Harrassment,47.62458989,-122.3586686
Traffic Law,47.56291163,-122.3867753
Theft,47.66332336,-122.2984112
Gun Violence,47.60378135,-122.3384241
Traffic Law,47.51517049,-122.373277
Fraud,47.60266908,-122.3030836
Public Nuisance,47.5226618,-122.322979
Theft,47.57456845,-122.2993846
Theft,47.6106779,-122.335574
Public Nuisance,47.68394639,-122.2841745
Theft,47.6506252,-122.3505458
Sex Crime,0.0,0.0
Theft,47.62676478,-122.325596
Arson,47.54706873,-122.2859474
Public Nuisance,47.60129045,-122.3263524
Theft,47.62198537,-122.3204152
Theft,47.61316683,-122.3421927
Theft,47.53673888,-122.3311344
Theft,47.61132124,-122.3373204
Fraud,47.5672585,-122.3654441
Fraud,47.68045515,-122.3767718
Public Nuisance,47.61240799,-122.3248761
Theft,47.59919385,-122.3270138
Theft,47.59919954,-122.3156801
Theft,47.521948,-122.3578059
Public Nuisance,47.67497945,-122.3165105
Theft,47.67497945,-122.3165105
Theft,47.62459539,-122.3599748
Theft,47.61051065,-122.339257
Fraud,47.63999223,-122.2848514
Theft,47.68366976,-122.3444863
Theft,47.59918657,-122.3184307
Theft,47.66400406,-122.3142241
Theft,47.61173309,-122.3417526
Theft,47.53887651,-122.3894236
Theft,47.66794353,-122.3363863
Theft,47.60201606,-122.3332113
Theft,47.65741891,-122.339734
Theft,47.61173309,-122.3417526
Human Trafficking,0.0,0.0
Theft,47.54786831,-122.3763772
Theft,47.62443829,-122.3113197
Theft,47.6531494,-122.3368919
Fraud,47.68592294,-122.3269746
Theft,47.71691267,-122.357056
Theft,47.6818033,-122.3481406
Theft,47.54559328,-122.3764226
Theft,47.62256335,-122.3220166
Robbery,47.62081538,-122.3323451
Theft,47.6465158,-122.3505471
Theft,47.5899869,-122.3177447
Theft,47.60878866,-122.3384495
Fraud,47.53979464,-122.2739986
Theft,47.64073924,-122.348011
Fraud,47.56380429,-122.3293685
Theft,47.54925505,-122.3295808
Theft,47.54267933,-122.2980604
Public Nuisance,47.61134853,-122.3411023
Theft,47.61096316,-122.3128193
Fraud,47.6613414,-122.3245721
Theft,47.60829217,-122.3379954
Theft,47.67844054,-122.3271603
Theft,47.61027832,-122.3398125
Theft,47.59678343,-122.3332682
Theft,47.62678118,-122.3553834
Theft,47.61210339,-122.3338081
Theft,47.68657154,-122.3397778
Theft,47.60882096,-122.3400134
Theft,47.64260983,-122.324638
Fraud,47.63555139,-122.3404498
Theft,47.65908266,-122.3155004
Theft,47.55371913,-122.268696
Theft,47.62024125,-122.3317002
Theft,47.61952437,-122.2934917
Robbery,47.68189427,-122.3174641
Public Nuisance,47.60602417,-122.340136
Public Nuisance,47.66053224,-122.313149
Theft,47.61227923,-122.2962123
Theft,47.66332336,-122.2984112
Sex Crime,0.0,0.0
Robbery,47.61021404,-122.3366834
Theft,47.6894572,-122.3418213
Robbery,47.72640779,-122.3555539
Theft,47.5658359,-122.4028949
Public Nuisance,47.60733885,-122.326382
Public Nuisance,47.52559503,-122.2878602
Theft,47.53414405,-122.3297587
Theft,47.65984569,-122.2827476
Theft,47.61465549,-122.3207895
Traffic Law,47.58397491,-122.329969
Theft,47.61927445,-122.3248291
Fraud,47.61078997,-122.298833
Fraud,47.61078997,-122.298833
Traffic Law,47.55697692,-122.3868981
Fraud,47.69143932,-122.3402308
