Offence,Latitude,Longitude
Public Nuisance,42.3412875,-71.05467933
Public Nuisance,42.34253147,-71.06903064
Theft,42.31026891,-71.08931055
Public Nuisance,42.31591905,-71.09691295
Public Nuisance,42.28941002,-71.06325998
Others,42.24422964,-71.13251945
Theft,42.349056,-71.1504985
Missing,42.31632131,-71.0892305
Fraud,42.3412875,-71.05467933
Public Nuisance,42.31127465,-71.11448366
Public Nuisance,42.26216909,-71.12185558
Assault,42.27810078,-71.17867378
Others,42.28560167,-71.0931713
Others,42.33555954,-71.07436364
Others,42.34044734,-71.08188142
Others,42.3030235,-71.0629247
Theft,42.349056,-71.1504985
Theft,42.29583518,-71.15656562
Theft,42.37663167,-71.05593195
Theft,42.32952035,-71.08530641
Others,42.34072169,-71.07768509
Theft,42.31615184,-71.09795135
Robbery,42.34493428,-71.06366374
Assault,42.29848866,-71.06313294
Assault,42.34893307,-71.16177266
Others,42.3653748,-71.06154161
Assault,42.30238403,-71.07781168
Assault,42.3445384,-71.08122921
Others,0.0,0.0
Theft,42.29332003,-71.08256004
Assault,42.33401829,-71.07638124
Theft,42.28482577,-71.09137369
Assault,42.30348022,-71.05842644
Public Nuisance,42.3616006,-71.05296127
Others,42.29797339,-71.1124974
Others,42.27461842,-71.0638064
Assault,42.35275617,-71.04748127
Others,42.26778948,-71.15003397
Others,42.3653748,-71.06154161
Public Nuisance,42.34042575,-71.04894028
Others,42.37857311,-71.05511607
Accident,42.36284172,-71.13792234
Others,42.31222403,-71.07732397
Assault,42.36148163,-71.05719146
Robbery,42.25611296,-71.14043886
Assault,42.29234026,-71.0933824
Others,42.30007731,-71.07990164
Others,42.3163254,-71.06223796
Others,42.33632386,-71.07956047
Others,42.35521625,-71.06012863
Theft,42.3473098,-71.07915167
Theft,42.34481182,-71.08234324
Others,42.31668068,-71.09638886
Fraud,42.37081805,-71.03929078
Others,42.35521429,-71.06206351
Others,0.0,0.0
Robbery,42.35512339,-71.0608798
Others,42.25711406,-71.11719143
Assault,42.34701666,-71.06886237
Robbery,42.32137427,-71.05679486
Assault,42.3638849,-71.066484
Accident,42.36118,-71.06286402
Robbery,42.36183857,-71.05976489
Others,42.34329795,-71.06458096
Others,42.28832578,-71.1299337
Others,42.35436002,-71.06167998
Assault,42.33431859,-71.0962111
Theft,42.25940183,-71.1173157
Others,42.31249669,-71.11277625
Others,42.32883627,-71.08459849
Assault,42.33468269,-71.10699046
Others,42.27246009,-71.10352421
Public Nuisance,42.30343398,-71.07154496
Public Nuisance,0.0,0.0
Assault,42.2985085,-71.06786956
Others,42.30609356,-71.0671857
Others,42.28709355,-71.14822128
Robbery,42.27531311,-71.11587798
Public Nuisance,42.28844861,-71.13522761
Robbery,42.34412628,-71.09942777
Murder,42.28611665,-71.14114399
Others,42.31526714,-71.0630687
Public Nuisance,42.37081805,-71.03929078
Assault,42.33044113,-71.08373481
Fraud,42.349056,-71.1504985
Robbery,42.34493428,-71.06366374
Others,42.30971857,-71.10429432
Others,42.36339154,-71.05488123
Theft,42.28942828,-71.13835951
Arson,42.35501394,-71.15969592
Accident,42.27032004,-71.12059904
Others,42.30481467,-71.07218295
Others,42.33695098,-71.08574813
Public Nuisance,0.0,0.0
Theft,42.32866284,-71.08563401
Others,42.33056977,-71.09959089
Public Nuisance,42.37746305,-71.06697969
Assault,42.35174282,-71.0627594
Others,0.0,0.0
Robbery,42.26283035,-71.10809203
Others,42.28248068,-71.06981187
Fraud,42.349056,-71.1504985
Theft,42.29755533,-71.0597091
Accident,42.38693634,-71.006072
Public Nuisance,42.29755533,-71.0597091
Fraud,42.30355748,-71.08311604
Theft,42.349056,-71.1504985
Assault,42.28986134,-71.13150648
Theft,42.35358822,-71.12689571
Accident,42.31904096,-71.07775399
Arson,0.0,0.0
Fraud,42.28482577,-71.09137369
Others,42.30660388,-71.08055038
Others,42.29281079,-71.07327594
Assault,42.36183857,-71.05976489
Others,42.38093345,-71.04023929
Public Nuisance,42.349056,-71.1504985
Theft,42.3412875,-71.05467933
Others,42.34765044,-71.16667608
Assault,42.32277007,-71.10445458
Others,42.37341577,-71.06567171
Theft,42.26361745,-71.10237387
Others,42.33004787,-71.0666544
Others,42.30168622,-71.06328901
Others,42.29560603,-71.1564576
Theft,0.0,0.0
Assault,42.349056,-71.1504985
Others,42.36412097,-71.06858501
Fraud,42.34186952,-71.0837219
Assault,42.26592583,-71.15212793
Others,42.32188453,-71.08306612
Public Nuisance,42.30775024,-71.08273084
Others,42.29347597,-71.07124199
Others,42.37081805,-71.03929078
Public Nuisance,42.33954199,-71.06940877
Assault,42.33285585,-71.07262418
Public Nuisance,42.30238403,-71.07781168
Others,0.0,0.0
Robbery,42.36045095,-71.05644018
Arson,42.27380942,-71.11996035
Theft,42.24503321,-71.12354978
Theft,42.3412875,-71.05467933
Theft,42.32866284,-71.08563401
Others,42.30153144,-71.08257819
Others,42.3833514,-71.07894124
Theft,42.34182317,-71.07562989
Others,42.34182317,-71.07562989
Others,42.28866198,-71.06130524
Accident,42.32490696,-71.09825796
Assault,42.37081805,-71.03929078
Others,42.37808452,-71.05784115
Others,42.33151288,-71.10494901
Others,42.33267994,-71.109579
Others,42.32283759,-71.10096723
Assault,42.27064205,-71.09587908
Accident,42.28534744,-71.11047633
Others,42.30971857,-71.10429432
Assault,42.28397463,-71.05553564
Others,42.32866284,-71.08563401
Others,42.29524584,-71.05734781
Others,42.37935616,-71.03002495
Theft,42.29755533,-71.0597091
Public Nuisance,42.33506218,-71.09316781
Others,0.0,0.0
Accident,42.33117799,-71.07700798
Others,42.29755533,-71.0597091
Others,42.33259346,-71.0686317
Others,42.36554121,-71.05527501
Public Nuisance,42.379969,-71.02537394
Theft,42.37276304,-71.035464
Assault,42.3308284,-71.05192376
Others,42.34616091,-71.06318142
Others,42.31496145,-71.0895221
Others,42.36489527,-71.06050249
Theft,42.34841718,-71.06240393
Others,42.29026233,-71.07473856
Others,42.36240281,-71.06954652
Assault,42.26693203,-71.11138401
Others,42.33311189,-71.0727637
Robbery,42.32859767,-71.05363334
Murder,42.31915678,-71.10067583
Others,42.33282002,-71.07820505
Others,42.30132851,-71.07870873
Others,42.3412875,-71.05467933
Others,42.28121227,-71.08941723
Others,42.2801126,-71.13637166
Others,42.35071344,-71.16296497
Others,42.349056,-71.1504985
Public Nuisance,42.29350931,-71.07991323
Public Nuisance,42.26342141,-71.10306078
Others,42.37913651,-71.05648765
Public Nuisance,42.33596847,-71.08129856
Theft,42.3412875,-71.05467933
Others,42.31295497,-71.08345072
Others,42.35196671,-71.05415459
Accident,42.26909851,-71.09361458
Assault,42.30812619,-71.07692974
Others,0.0,0.0
Theft,42.3412875,-71.05467933
Others,42.32696647,-71.06198607
Others,42.35093667,-71.06399897
Assault,42.30968109,-71.105837
Public Nuisance,42.2991897,-71.08150445
Theft,42.33428841,-71.07239518
Robbery,42.34412628,-71.09942777
